text,label,true_label,predicted_label,fake_probability,real_probability,confidence,correct
Building a wall on the U.S.-Mexico border will take literally years.,1,Real,Fake,0.98644185,0.013558118,0.98644185,False
We know there are more Democrats in Georgia than Republicans. We know that for a fact.,0,Fake,Real,0.057131298,0.94286877,0.94286877,False
"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",0,Fake,Real,0.033406977,0.96659297,0.96659297,False
Unfortunately we have documented instances where people defecated in the (Statehouse) building.,0,Fake,Real,0.076078005,0.92392194,0.92392194,False
Ronald Reagan faced an even worse recession than the current one.,0,Fake,Real,0.07500475,0.92499524,0.92499524,False
There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as.,1,Real,Fake,0.98687035,0.013129684,0.98687035,False
"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.",1,Real,Fake,0.97989655,0.020103449,0.97989655,False
Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.,0,Fake,Real,0.035542365,0.9644577,0.9644577,False
"In Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses.",1,Real,Fake,0.95264286,0.04735716,0.95264286,False
"The Fed created $1.2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations.",1,Real,Fake,0.98095095,0.019049037,0.98095095,False
Says he won the second debate with Hillary Clinton in a landslide in every poll.,0,Fake,Real,0.061163675,0.93883634,0.93883634,False
Says bag litter increased after San Francisco banned single-use shopping bags.,0,Fake,Real,0.12587547,0.8741246,0.8741246,False
"A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.",0,Fake,Real,0.04774205,0.952258,0.952258,False
Hillary Clinton said gun confiscation would be worth considering.,0,Fake,Real,0.20654899,0.7934511,0.7934511,False
Hes the only candidate whos balanced budgets and brought jobs to Providence.,1,Real,Fake,0.8954355,0.10456449,0.8954355,False
Sixty percent of the Hispanics support the Arizona immigration law,0,Fake,Real,0.037167206,0.96283287,0.96283287,False
The tax cut deal is giving $700 billion to millionaires and billionaires.,0,Fake,Real,0.49738592,0.50261414,0.50261414,False
Says Marco Rubio said Social Security and Medicare haveweakened us as a people.,1,Real,Fake,0.97407055,0.025929412,0.97407055,False
A strong bipartisan majority in the House of Representatives voted to defund Obamacare.,0,Fake,Real,0.370219,0.62978107,0.62978107,False
Says delegates cant legally change the Republican National Convention rules to prevent Donald Trumps nomination.,0,Fake,Real,0.08742082,0.91257924,0.91257924,False
Rebuilding three high schools will benefit 40 percent of Portland Public School students.,0,Fake,Real,0.04753653,0.9524635,0.9524635,False
The Texas Department of Transportation... misplaced a billion dollars.,1,Real,Fake,0.98704636,0.012953597,0.98704636,False
"Pepper ... kicked off a jock tax, imposing a levy on the sports and entertainment industry.",1,Real,Fake,0.90784466,0.092155315,0.90784466,False
"Under Mayor Tom Barrett, the number of Milwaukee police officers has not increased.",1,Real,Fake,0.9203318,0.07966821,0.9203318,False
Taxpayers subsidize 80 percent of each MARTA trip,0,Fake,Real,0.079711586,0.9202884,0.9202884,False
Says people in Africa literally walk two and three hundred miles in order to vote.,0,Fake,Real,0.065275066,0.93472487,0.93472487,False
Half of children struck by cars near schools are hit by parents driving children to school.,0,Fake,Real,0.13738896,0.86261106,0.86261106,False
"Citizens Property Insurance has over $500 billion worth of risk, with less than $10 billion worth of surplus.",0,Fake,Real,0.03333244,0.9666676,0.9666676,False
Putting three Republicans in my Cabinet...is unprecedented.,1,Real,Fake,0.9354588,0.06454122,0.9354588,False
"When Atlanta Police Chief George Turner was interim head of the department, overall crime fell 14 percent and violent crime dropped 22.7 percent.",0,Fake,Real,0.32528073,0.6747193,0.6747193,False
"As a result of climate change, ice fishermen in Wisconsin are already noticing fewer days they can be out on our ice covered lakes.",1,Real,Fake,0.98615617,0.01384389,0.98615617,False
"Says Donald Trump said of women, And you can tell them to go f--- themselves.",0,Fake,Real,0.30383676,0.69616324,0.69616324,False
Iran President Hassan Rouhani has more Cabinet members with Ph.D.s from American universities than members of Barack Obamas Cabinet.,1,Real,Fake,0.5342118,0.46578825,0.5342118,False
"The words subhuman mongrel, which Ted Nugent called President Barack Obama, were used by the Nazis to justify the genocide of the Jewish community.",1,Real,Fake,0.98879963,0.011200347,0.98879963,False
