text,label,true_label,predicted_label,negative_probability,neutral_probability,positive_probability,confidence,correct
@USER @USER what do these '1/2 naked pics' have to do with anything? They're not even like that.,1,Neutral,Negative,0.9704223,0.028174562,0.0014031121,0.9704223,False
"@USER @USER That's coming, but I think the victims are going to be Medicaid recipients.",1,Neutral,Negative,0.9844455,0.0145312585,0.0010232264,0.9844455,False
"@USER Wow,first Hugo Chavez and now Fidel Castro. Danny Glover, Michael Moore, Oliver Stone, and Sean Penn are running out of heroes.",0,Negative,Neutral,0.08835622,0.6051378,0.30650604,0.6051378,False
Savchenko now Saakashvili took drug test live on Ukraine TV. To prove they are not drug-fueled loonies?,1,Neutral,Negative,0.9853638,0.013577092,0.0010590991,0.9853638,False
How many more days until opening day? 😩,1,Neutral,Positive,0.035128552,0.13621739,0.8286541,0.8286541,False
All CSG and Fracking all around Australia is to cease and Mining Entities held Accountable! - Sign the Petition!,1,Neutral,Negative,0.9514491,0.04696528,0.0015856834,0.9514491,False
@USER @USER @USER @USER @USER @USER take away illegals and dead people and Trump wins popular vote too.,0,Negative,Neutral,0.38268152,0.49665922,0.12065928,0.49665922,False
OPINION: The Anti-#Trump #Riots Are a #SmokeScreen:,1,Neutral,Negative,0.9845334,0.014415744,0.0010507649,0.9845334,False
ISIS and The CIA What You Need To Know! #ISIS #falseflag #saudi #CIA #mossad #israel,1,Neutral,Negative,0.9504564,0.04762808,0.0019156608,0.9504564,False
"#Israel fire updates: Major blaze breaks out near #Jerusalem, firebombing suspected...",1,Neutral,Negative,0.9846858,0.014650269,0.0006638678,0.9846858,False
"RT @USER Can I politely suggest that we all stop using the term ""alt-right"" and use other, more precise words.",1,Neutral,Negative,0.85239667,0.14419408,0.0034091915,0.85239667,False
Bike parking still free.,1,Neutral,Positive,0.000827906,0.31819442,0.6809777,0.6809777,False
@USER @USER Trump is likely supporting Putin talking on unsecured phone lines bc Trump's tied to Russia #DworkinReport,1,Neutral,Negative,0.9092184,0.08777736,0.0030043088,0.9092184,False
Survey shows Poroshenko has lost considerable electoral support in two years,1,Neutral,Negative,0.9918893,0.007406461,0.0007042505,0.9918893,False
"So that Westworld show, it isn't too bad. I guess. If you like that sort of thing.",1,Neutral,Positive,0.0025114561,0.01638953,0.98109895,0.98109895,False
"Download UBER app, Register with this promo code NGSBA105 and get a free ride worth #2500. #Uber #UberNigeria",1,Neutral,Positive,0.0014813609,0.13935445,0.85916424,0.85916424,False
"@USER it's weird 'cause I usually like music in his vein, but it's every so shy of being memorable like a Bob Dylan/Lou Reed thing(?)",0,Negative,Neutral,0.08500479,0.857099,0.057896186,0.857099,False
#Putin has had it with #Obama and has decided to throw #America out of #Syria negotiations[URL],1,Neutral,Negative,0.93557125,0.06328178,0.0011469407,0.93557125,False
This isn't the 1st time @USER & the #Hamas supporting #IntifadaBrigade mock disasters/terror attacks while p…,1,Neutral,Negative,0.99063593,0.008569736,0.0007943099,0.99063593,False
Come on Electoral College. Please do your job. Majority of Americans do not want @USER This is NOT the f…,1,Neutral,Negative,0.97981936,0.018405313,0.0017753228,0.97981936,False
@USER @USER @USER @USER Let robots be #Robots!,1,Neutral,Positive,0.0015523692,0.061764177,0.9366834,0.9366834,False
CNN weeps for their erstwhile hero Fidel Castro.,0,Negative,Neutral,0.26051262,0.6560761,0.08341128,0.6560761,False
"@USER it's free with insurance because of Obamacare, which trump wants to repeal 🙃",0,Negative,Neutral,0.13214108,0.69583786,0.1720211,0.69583786,False
The #Obama admin. has carried out a deliberately deceptive campaign accusing Iran of sending arms to #Houthis#yemen[URL],1,Neutral,Negative,0.9888415,0.010334925,0.0008236287,0.9888415,False
#Yanukovych seems much more willing to take questions from the media than @USER often is! #UkrAine,1,Neutral,Positive,0.01126548,0.38860017,0.60013443,0.60013443,False
#TPP is N.W.O.; 1%er's Corporatocracy;～Global Governance by Corporate Jews.【[URL] [URL] #tcot #p2,1,Neutral,Negative,0.6241178,0.37036014,0.0055221096,0.6241178,False
“It’s such a futuristic idea. A world in which the descendants of slaves become poets.” ~ Terrance Hayes #NBAwards,1,Neutral,Positive,0.006432267,0.49439064,0.49917716,0.49917716,False
@USER Wow...this is one deadly statement! Reminding me of the Greta Muhammad Ali.,2,Positive,Negative,0.9896881,0.008675763,0.0016361849,0.9896881,False
i bought it for kh3 and persona 5 and ffxiv (tho i havent touched that in months,2,Positive,Neutral,0.12346613,0.7734243,0.10310957,0.7734243,False
Drop 75% Price: £7.88. Paperback: The Gay & Lesbian Marriage & Family Reader: Analyses of Problems and Prospe...,0,Negative,Neutral,0.005509482,0.98599166,0.008498818,0.98599166,False
@USER @USER @USER @USER You mean like Nancy Pelosi making millions on insider trading from her House sources?,1,Neutral,Negative,0.9867671,0.012302939,0.0009298501,0.9867671,False
"@USER Stay right here, buddy. There are lots of nasty women and bad hombres that are staying too.",1,Neutral,Negative,0.9916044,0.007129947,0.0012656297,0.9916044,False
"Suarez on twitter: ""YNWA #StevenGerrard"" [@USER] #FCBlive",2,Positive,Neutral,0.0013934028,0.98436075,0.014245895,0.98436075,False
"@USER sadly, Putin has won big time over the past 10-15 years. His biggest triumph being the election of his proxy @USER",2,Positive,Negative,0.88165873,0.10734005,0.011001276,0.88165873,False
"@USER in a post-truth world of propaganda and organized voter suppression, can you make progress without using the same tools)",1,Neutral,Negative,0.93356824,0.06317562,0.003256095,0.93356824,False
@USER deadline for WI is today and hoping your people are on it and NOT this lying Putin loving scammer,1,Neutral,Negative,0.9928396,0.006167133,0.0009932652,0.9928396,False
@USER same (praise Kim Jong-un),2,Positive,Neutral,0.01839698,0.8150025,0.16660051,0.8150025,False
4. One last time - #ArianaGrande[URL],2,Positive,Neutral,0.0021463847,0.93654484,0.06130874,0.93654484,False
Dady is slaying the game of abs.AMÈM LIAM PAYNE #MtvStarsNiallHoran #MPN #OneDirection,1,Neutral,Positive,0.00290773,0.041756615,0.95533574,0.95533574,False
"@USER Federal offices as POTUS ""NEED FEDERAL REGULATIONS, NOT STATE LAWS""~This needs to change to federal rules!",1,Neutral,Negative,0.9883829,0.010458332,0.0011587827,0.9883829,False
"@USER Hi. I can't find the old episodes of #TheWalkingDead on Virgin on Demand anymore: have they gone, or am I looking wrong? 😊 ❤📺",0,Negative,Neutral,0.16734312,0.6117476,0.22090915,0.6117476,False
.@USER on #Periscope: Black lives matter protest continues,1,Neutral,Negative,0.76354957,0.23294267,0.0035078335,0.76354957,False
troubling application of deep learning,1,Neutral,Negative,0.8830715,0.11396378,0.0029647788,0.8830715,False
"SORRY, HARRY...I'M LEAVING YOU FOR YOUR TWIN: MARCEL #JK #Onedirection #HarryStyles",1,Neutral,Positive,0.022944862,0.3126684,0.66438675,0.66438675,False
Soz but u can't protest against animal testing if you eat meat & dairy. Laboratories are like a vacation compared to meat & dairy farms.,1,Neutral,Negative,0.9833188,0.015040222,0.0016409219,0.9833188,False
Thousands flee Raqqa as Turkish-Kurdish tensions threaten anti-IS campaign #ISIS,1,Neutral,Negative,0.98659116,0.012699186,0.0007097104,0.98659116,False
"""who's the most wiped out white boy? Zac Efron! Zac Efron!""",1,Neutral,Negative,0.73168045,0.20626491,0.062054645,0.73168045,False
Bannon bringing Reagan back! #maga[URL] via @USER,1,Neutral,Positive,0.004764612,0.18560626,0.80962914,0.80962914,False
Anti-Trump Protests And Riots Backfire!! Students Starting To Realize Th... via @USER,1,Neutral,Negative,0.9890912,0.009882303,0.0010264573,0.9890912,False
"RT @USER When they're literally doing a Nazi salute you don't have to fudge and call them ""alt right""",1,Neutral,Negative,0.9775981,0.02068689,0.0017150091,0.9775981,False
#humanrights #UnitedNations Palestinian capable of overcoming aches to help humanitarian aids!,1,Neutral,Positive,0.0015012556,0.016723352,0.9817754,0.9817754,False
"@USER isn't he the ultra conservative anti- gay marriage, anti-abortion, anti- everything guy?",0,Negative,Neutral,0.047829397,0.929952,0.022218512,0.929952,False
"And in my defense, I said Marcelo out of reflex but clarified that Cristiano Ronaldo dos Santos Aveiro is actually the best.",2,Positive,Neutral,0.010293576,0.86775225,0.121954165,0.86775225,False
I think we should give all #ISIS members a Bible this #Christmas,1,Neutral,Negative,0.81782526,0.17751192,0.004662808,0.81782526,False
This is of concern for all of us,1,Neutral,Negative,0.64205855,0.34691405,0.011027381,0.64205855,False
"Even after the 4th time watching #FantasticBeasts, I still teared up at the John Williams opening scores. Such a cry baby 😭",2,Positive,Negative,0.90904397,0.06564515,0.025310796,0.90904397,False
"@USER But,her sis was big in election,familyRall writers&ACexpert on digi media,so logical cd increase # s",2,Positive,Neutral,0.012206928,0.77214235,0.21565066,0.77214235,False
Catching up on TWD #amc #TheWalkingDead,2,Positive,Neutral,0.003174389,0.9143575,0.08246808,0.9143575,False
@USER Marion Le Pen has also accepted stolen wine from Crimea and agreed to new winemaking partnership #Sanctions #CrimeaIsUkraine,0,Negative,Neutral,0.011250223,0.87315667,0.11559321,0.87315667,False
New on #Steemit: Cristiano Ronaldo all Luxury Cars,1,Neutral,Positive,0.0011386684,0.20792057,0.79094076,0.79094076,False
".@USER @USER Answers? What are the Qs?Problem is voter suppression, not vote chicanery.Focus on the former, not the latter.",1,Neutral,Negative,0.98825896,0.010769091,0.00097198255,0.98825896,False
@USER they have some bad hombres working tonight?,1,Neutral,Negative,0.9927577,0.0063590254,0.00088317523,0.9927577,False
"@USER secures first major sales order worth around $65,000 #business #news #investment #ASX200 #Pharmaceutical",2,Positive,Neutral,0.0012830633,0.8006943,0.19802265,0.8006943,False
"IFC signed agreement with Bank of #Palestine to scale up lending operations to smaller firms, especially women-owne…",2,Positive,Neutral,0.0010844592,0.9296104,0.06930518,0.9296104,False
mi mamá didn't tell me there was codeine in the cough syrup she gave me so I spent all of Thanksgiving drugged wbu,1,Neutral,Negative,0.98940897,0.0096496185,0.0009414581,0.98940897,False
Have a pesky relative that won't stop complaining about Trump? Check to see if they're registered to vote:[URL],1,Neutral,Negative,0.958969,0.039119616,0.0019113644,0.958969,False
The The Orlando #Python User Group meetup is hosting the Deep Learning with #Python on Monday after next. Be there:,2,Positive,Neutral,0.0006495347,0.7325313,0.26681915,0.7325313,False
Ashley Graham needed affirmation after being dumped #bollywood,1,Neutral,Negative,0.858329,0.1381383,0.0035327447,0.858329,False
#Buzzfeed is using #BIGOTED #ReligiousTest! #ChipGaines #JoannaGaines #HGTV #Christian,0,Negative,Neutral,0.0022436394,0.98230815,0.015448261,0.98230815,False
Westworld and our increasingly wired sense of eroticism,2,Positive,Neutral,0.030736838,0.617634,0.35162917,0.617634,False
@USER she introduced Ivanka to her husband!? Wow all surrounded by Putin's agents,1,Neutral,Negative,0.97642994,0.020676201,0.0028939133,0.97642994,False
Representing in the @USER for my peeps. #brownandproud #bad-hombres #thanksgiving,1,Neutral,Positive,0.0030196141,0.024978125,0.97200227,0.97200227,False
@USER Legal terminology for opposing gay marriage? Homo MatrimOHNO,0,Negative,Neutral,0.025213672,0.9665223,0.008264024,0.9665223,False
